pdb_id,docking_case,bound_path,unbound_pro_path,unbound_rna_path,bound_pro_chain,unbound_pro_chain,bound_rna_chain,unbound_rna_chain,status
1ASY,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1ASY/1ASY.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1ASY/1EOV.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1ASY/2TRA.pdb,A,A,R,A,Success
1B23,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1B23/1B23.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1B23/1TUI.pdb,,P,A,R,A,Success
1C0A,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1C0A/1C0A.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1C0A/1EQR.pdb,,A,A,B,C,Success
1QTQ,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1QTQ/1QTQ.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1QTQ/1NYL.pdb,,A,A,B,Y,Success
2BTE,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2BTE/2BTE.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2BTE/1OBC.pdb,,A,A,B,F,Success
2DRB,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2DRB/2DRB.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2DRB/1UET.pdb,,A,A,B,C,Success
2FMT,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2FMT/2FMT.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2FMT/1FMT.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2FMT/3CW6.pdb,A,A,C,A,Success
2ZZM,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2ZZM/2ZZM.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/2ZZM/2YX1.pdb,,A,A,B,C,Success
3HL2,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3HL2/3HL2.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3HL2/3BC8.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3HL2/3RG5.pdb,ABKM,ADGJ,E,A,Success
3VJR,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3VJR/3VJR.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3VJR/2PTH.pdb,,A,A,B,5,Success
5X6B,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5X6B/5X6B.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5X6B/3WKR.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/5X6B/2ZZN.pdb,IJEF,ABCD,P,C,Success
6LVR,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6LVR/6LVR.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6LVR/4G24.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/6LVR/1I9V.pdb,C,A,D,A,Success
7YSE,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7YSE/7YSE.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/7YSE/7EIV.pdb,,AC,AC,E,E,Success
1DFU,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1DFU/1DFU.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1DFU/1B75.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1DFU/364D.pdb,P,A,MN,CB,Success
1FEU,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1FEU/1FEU.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1FEU/2J01.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1FEU/364D.pdb,A,Z,BC,BC,Success
1MMS,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1MMS/1MMS.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1MMS/2K3F.pdb,,A,A,C,A,Success
3IEV,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3IEV/3IEV.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3IEV/7C1O.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/3IEV/1SDR.pdb,A,A,D,BC,Success
1OOA,UU,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1OOA/1OOA.pdb,/kaggle/input/prdbv3-dataset-description/PRDBv3.0/1OOA/1LE5.pdb,,A,B,C,A,Success
